city,state,elevation
akron,OH,961
anaheim,CA,161
arlington,TX,604
atlanta,GA,1050
baltimore,MD,36
baton rouge,LA,46
bloomington,MN,827
boston,MA,46
buffalo,NY,600
canton,OH,1056
carson,CA,39
champaign,IL,735
charlotte,NC,761
chestnut hill,MA,187
chicago,IL,587
cincinnati,OH,551
clemson,SC,725
cleveland,OH,653
columbus,OH,781
dallas,TX,420
dayton,OH,738
denver,CO,5276
detroit,MI,597
duluth,MN,705
east hartford,CT,56
east orange,NJ,151
east rutherford,NJ,82
flushing,NY,85
foxboro,MA,262
glendale,AZ,1152
green bay,WI,594
hammond,IN,600
houston,TX,36
indianapolis,IN,722
inglewood,CA,131
irving,TX,482
jacksonville,FL,16
kansas city,MO,899
kenosha,WI,604
landover,MD,59
las vegas,NV,2001
los angeles,CA,292
louisville,KY,466
marion,OH,981
memphis,TN,295
miami,FL,7
milwaukee,WI,614
minneapolis,MN,830
nashville,TN,554
new orleans,LA,0
new york,NY,36
newark,NJ,33
oakland,CA,43
opa-locka,FL,7
orchard park,NY,863
philadelphia,PA,36
pittsburgh,PA,764
pontiac,MI,925
portsmouth,OH,535
pottsville,PA,627
racine,WI,623
rock island,IL,564
san diego,CA,62
san francisco,CA,52
santa clara,CA,72
seattle,WA,177
st. louis,MO,463
tampa,FL,16
tempe,AZ,1181
toledo,OH,610
washington,DC,23
west haven,CT,13